dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
GSE19804,rpart_tree,R,25,0.9133333333333333,0.055014728667606504,0.9133333333333333,0.055014728667606504,0.9126606919650397,0.05576343939988565,0.8346795060828407,0.10479146632113667
GSE19804,majority,R,25,0.5,0.0,0.5,0.0,0.333333333333333,0.0,0.0,0.0
GSE25837,glmnet_enet,R,25,0.7532163742690059,0.020467836257310024,0.5,0.0,0.4295454545454544,0.006628787878788007,0.0,0.0
GSE25837,majority,R,25,0.7532163742690059,0.020467836257310024,0.5,0.0,0.4295454545454544,0.006628787878788007,0.0,0.0
GSE25837,rpart_tree,R,25,0.6242105263157895,0.09712459739680228,0.4905714285714287,0.0989360922016636,0.47744505920255564,0.10296063309492315,-0.024265497888525757,0.2040936013721436
GSE25837,ranger_rf,R,25,0.7360233918128657,0.036729770881260365,0.48857142857142855,0.019884872724392957,0.4237211632453567,0.012297584400592601,-0.04091672773955248,0.06766119406858905
GSE25837,rrf_ranktreeensemble,R,25,0.6501754385964914,0.163677148536936,0.4878571428571428,0.10516022760239625,0.4282531227797707,0.09924297987899049,-0.02899909457212886,0.19475980352243225
GSE25837,knn_euclidean,R,25,0.6783625730994153,0.11507683806466264,0.4838571428571429,0.1036746201861781,0.4627695406496851,0.12027488679736201,-0.025286844853801994,0.2646102710457137
GSE25837,svm_linear,R,25,0.612982456140351,0.09615793937090886,0.4804285714285714,0.11298139633748257,0.46978146901711987,0.1120753825770593,-0.04498267992755265,0.2297859516696686
GSE25837,pyrrm_knn5,pyrrm,25,0.683859649122807,0.06577496049579146,0.4794285714285714,0.05894011430961036,0.44720536072093353,0.07168431956886746,-0.04916574698059639,0.17790236027699546
GSE25837,xgboost_shallow,R,25,0.7122807017543862,0.05979871735736122,0.4764285714285715,0.043959048661039786,0.4217771610110318,0.04244889438311338,-0.06960989620256183,0.11423961491158133
GSE25837,py_tsp_rf,python_gene_pair,25,0.6560233918128655,0.0767549893227933,0.4392857142857142,0.05406518489459808,0.3995776728832902,0.03791312034366144,-0.15370776403197095,0.11388316427405212
GSE25837,switchbox_tsp,R,25,0.4212865497076024,0.08365298973666384,0.4261428571428572,0.1322784053827845,0.3726581850939202,0.0809481000036574,-0.12935962810239401,0.24813893728937975
