dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GSE3365,pyrrm_knn5,pyrrm,25,0.8474461538461538,0.0618847309205149,0.8653921568627451,0.06075031315182,0.8379162017864443,0.0630916101087601,0.7020178313234112,0.1141594193642853,5.0
GSE3365,ranger_rf,R,25,0.891876923076923,0.0738174623749644,0.8627941176470588,0.0940488742726588,0.8711276811865046,0.0923896999873506,0.7548112881601835,0.1753188775122332,6.0
GSE3365,py_tsp_svm,python_gene_pair,25,0.8537846153846154,0.078129614656611,0.837140522875817,0.0803568484598163,0.8355235244409068,0.0860263212496275,0.6830073891655024,0.1651760922125544,7.0
GSE3365,py_reos_svm,python_gene_pair,25,0.8521230769230769,0.0782769573455819,0.83359477124183,0.081743407917004,0.833047504303122,0.0863825101654248,0.6775733177701645,0.1674677640098419,8.0
GSE3365,switchbox_tsp,R,25,0.8110153846153847,0.0561638206806808,0.8326143790849673,0.0616360160217194,0.7999321145505067,0.0583201463405403,0.6363495549668418,0.1065381323036152,9.0
GSE3365,py_tsp,python_gene_pair,25,0.8062153846153847,0.0586560192955976,0.8264379084967319,0.0641303355051741,0.7947142311322838,0.0609820152443535,0.6249258228525312,0.1129811742824717,10.0
GSE3365,py_reos,python_gene_pair,25,0.8173538461538462,0.068482451429882,0.8258986928104575,0.0817931616861105,0.8024145983983075,0.0778610493887022,0.6295074832107412,0.1521497843381727,11.0
GSE3365,switchbox_ktsp,R,25,0.8238769230769232,0.0709197396177934,0.8255882352941177,0.0743451408233596,0.8083861590222848,0.0755995379022482,0.6375539203676587,0.1437318394315517,12.0
GSE3365,rpart_tree,R,25,0.8445538461538462,0.0662469231915502,0.8124509803921569,0.0725731857396413,0.8183687986137054,0.0750737691692391,0.6561575789272139,0.1416818676488924,13.0
GSE3365,tspdt_bigtsp,R,25,0.8316923076923076,0.061292778805727324,0.8120261437908498,0.07187111594511851,0.8087421112376671,0.07033945656891873,0.6326777482109002,0.13872578009156258,14.0
GSE3365,knn_euclidean,R,25,0.8002461538461538,0.058899640515541,0.7984640522875818,0.069579965164205,0.7823171288952964,0.0640039073740178,0.5800015304720005,0.1293612162475436,15.0
GSE3365,rrf_ranktreeensemble,R,25,0.793723076923077,0.0823602995071731,0.73781045751634,0.1055242602352591,0.734334549027711,0.1129708200955796,0.5523764289463705,0.1850896938655886,16.0
GSE3365,majority,R,25,0.6695384615384615,0.013076923076923,0.5,0.0,0.4009966777408638,0.0047065337763015,0.0,0.0,17.0
GSE6613,py_reos_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.1121840528238705,0.617859558019741,0.1119086066848937,0.2491933176595357,0.2293219080405141,1.0
GSE6613,py_tsp_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.1121840528238705,0.617859558019741,0.1119086066848937,0.2491933176595357,0.2293219080405141,1.0
GSE6613,pyrrm_knn5,pyrrm,25,0.6133333333333333,0.1200906686944618,0.6132727272727273,0.120153425793972,0.6096566709206499,0.1202559008095374,0.2315809686505848,0.2446271077529925,3.0
GSE6613,ranger_rf,R,25,0.6019047619047619,0.1157315944987821,0.5990909090909091,0.1158422267034059,0.5946389441566048,0.1173497610859386,0.2052555156635723,0.2395511829989375,4.0
GSE6613,py_reos,python_gene_pair,25,0.5885714285714285,0.0868095804055576,0.5965454545454546,0.0873476635352593,0.5732299365971295,0.0931486745495728,0.2133608985211833,0.1925444846200797,5.0
GSE6613,py_tsp_rf,python_gene_pair,25,0.5923809523809525,0.1158947576906146,0.5910909090909091,0.115316966465568,0.5871497990575255,0.1157300249927409,0.1875332210815836,0.2355082104169563,6.0
GSE6613,switchbox_ktsp,R,25,0.5828571428571427,0.0872438481502304,0.5892727272727272,0.0875111169639978,0.5698802988798143,0.0893393527471411,0.1981069582213808,0.1920850225577904,7.0
GSE6613,tspdt_bigtsp,R,25,0.5866666666666666,0.09495991118187946,0.5845454545454547,0.09525592611515107,0.5781195430709094,0.09987627538142375,0.17248384741067493,0.19693201199622565,8.0
GSE6613,knn_euclidean,R,25,0.577142857142857,0.0994314905610528,0.5761818181818182,0.09853681612591,0.5704811355483183,0.1001712540282222,0.1567049318846018,0.1989305748371193,9.0
GSE6613,svm_linear,R,25,0.5695238095238095,0.0841569278845177,0.5689090909090909,0.0849027153533982,0.5579250385710072,0.0872478105710345,0.1454522501259021,0.176075749248482,10.0
GSE6613,xgboost_shallow,R,25,0.5504761904761906,0.1108954823791019,0.5485454545454547,0.1119858929525753,0.5423311321902251,0.1157553730258511,0.0973354295524157,0.2300794143651298,11.0
GSE6613,rrf_ranktreeensemble,R,25,0.5504761904761903,0.0753926481716693,0.5483636363636364,0.0769140517061886,0.4815239207753405,0.1270791516122613,0.1063815422085735,0.1744768013605678,12.0
GSE6613,rpart_tree,R,25,0.5447619047619046,0.0992031745523793,0.5436363636363637,0.096797906541122,0.5337110198944901,0.101475131170797,0.0900779522346985,0.2004335342444091,13.0
GSE6613,switchbox_tsp,R,25,0.5085714285714285,0.0798240695916199,0.5134545454545454,0.0823267025357703,0.4925436794695512,0.0822005702396932,0.0321446062530109,0.1787131954613231,14.0
GSE6613,py_tsp,python_gene_pair,25,0.5085714285714286,0.07982406959162,0.513090909090909,0.0820107162251225,0.4939105749691696,0.0831853381623766,0.0297147972738737,0.1764558040272819,15.0
GSE6613,glmnet_enet,R,25,0.5257142857142857,0.0465758754003845,0.5107272727272728,0.0487071136499607,0.4219410357153055,0.0995676391901694,0.0207564179675549,0.1044795056889664,16.0
GSE6613,majority,R,25,0.523809523809524,0.0,0.5,0.0,0.34375,0.0,0.0,0.0,17.0
